Date,Clicks,Impressions,CTR,Position
2021-06-23,224,4001,5.6%,13.36
2021-06-22,241,3951,6.1%,12.19
2021-06-21,226,4326,5.22%,13.81
2021-06-20,329,4670,7.04%,12.79
2021-06-19,121,2475,4.89%,15.61
2021-06-18,165,2834,5.82%,14.04
2021-06-17,194,3825,5.07%,12.09
2021-06-16,277,4365,6.35%,12.16
2021-06-15,326,4406,7.4%,11.74
2021-06-14,342,4524,7.56%,12.48
2021-06-13,355,4969,7.14%,12.58
2021-06-12,174,2560,6.8%,16.76
2021-06-11,144,2353,6.12%,16.2
2021-06-10,250,3763,6.64%,15.15
2021-06-09,341,5291,6.44%,11.65
2021-06-08,234,4248,5.51%,13.9
2021-06-07,283,4181,6.77%,14.51
2021-06-06,245,4097,5.98%,14.3
2021-06-05,131,2298,5.7%,15.53
2021-06-04,128,2347,5.45%,19.73
2021-06-03,168,3331,5.04%,18.27
2021-06-02,143,2918,4.9%,14.84
2021-06-01,188,3656,5.14%,13.77
2021-05-31,234,4233,5.53%,13.78
2021-05-30,237,4161,5.7%,12.62
2021-05-29,121,2229,5.43%,13.53
2021-05-28,135,2519,5.36%,13.8
2021-05-27,168,3316,5.07%,12.57
2021-05-26,221,3444,6.42%,12.37
2021-05-25,176,3438,5.12%,13.29
2021-05-24,213,3516,6.06%,12.78
2021-05-23,237,3561,6.66%,13.72
2021-05-22,102,2110,4.83%,14.45
2021-05-21,110,2118,5.19%,16.42
2021-05-20,167,2730,6.12%,14.01
2021-05-19,185,3087,5.99%,13.59
2021-05-18,183,3184,5.75%,11.93
2021-05-17,203,3057,6.64%,13.23
2021-05-16,179,3132,5.72%,13.54
2021-05-15,108,1985,5.44%,13.91
2021-05-14,147,1959,7.5%,13.73
2021-05-13,148,2474,5.98%,14.05
2021-05-12,177,2666,6.64%,13.76
2021-05-11,172,2834,6.07%,13.37
2021-05-10,219,3524,6.21%,12.42
2021-05-09,162,2781,5.83%,12.75
2021-05-08,87,1446,6.02%,16.92
2021-05-07,94,1720,5.47%,19.68
2021-05-06,137,2271,6.03%,14.7
2021-05-05,123,2495,4.93%,16.71
2021-05-04,182,3314,5.49%,16
2021-05-03,214,3655,5.85%,14.53
2021-05-02,172,3599,4.78%,14.61
2021-05-01,105,2078,5.05%,17.84
2021-04-30,100,1946,5.14%,18.54
2021-04-29,161,3646,4.42%,14.19
2021-04-28,210,4511,4.66%,12.8
2021-04-27,293,4391,6.67%,14.42
2021-04-26,217,4917,4.41%,13.84
2021-04-25,230,4404,5.22%,15.37
2021-04-24,116,2609,4.45%,16.52
2021-04-23,108,2484,4.35%,17.47
2021-04-22,170,3792,4.48%,15.39
2021-04-21,257,5736,4.48%,11.52
2021-04-20,181,3437,5.27%,17.38
2021-04-19,240,5162,4.65%,24.81
2021-04-18,264,5462,4.83%,22.59
2021-04-17,179,3367,5.32%,25.45
2021-04-16,146,3021,4.83%,15.89
2021-04-15,240,4639,5.17%,15.26
2021-04-14,247,4283,5.77%,15.45
2021-04-13,253,3956,6.4%,13.82
2021-04-12,294,4067,7.23%,12.99
2021-04-11,258,4054,6.36%,13.49
2021-04-10,200,3494,5.72%,14.45
2021-04-09,149,2521,5.91%,17.32
2021-04-08,212,3291,6.44%,14.33
2021-04-07,323,4410,7.32%,12.53
2021-04-06,297,4411,6.73%,12.68
2021-04-05,265,4252,6.23%,13.28
2021-04-04,239,5425,4.41%,12.5
2021-04-03,147,3584,4.1%,13.36
2021-04-02,135,2563,5.27%,15.34
2021-04-01,164,2469,6.64%,13.8
2021-03-31,191,3058,6.25%,13.03
2021-03-30,242,3746,6.46%,12.61
2021-03-29,232,3762,6.17%,13.31
2021-03-28,247,3936,6.28%,12.66
2021-03-27,147,2493,5.9%,13.73
2021-03-26,165,2537,6.5%,13.33
2021-03-25,210,3414,6.15%,11.78
2021-03-24,197,3379,5.83%,12.72
